Stock list
AAPL
MSFT
NVDA
AMZN
GOOG
GOOGL
META
TSLA
AVGO
COST
NFLX
ASML
TMUS
CSCO
AZN
LIN
PEP
ISRG
ADBE
PLTR
QCOM
AMD
INTU
TXN
ARM
BKNG
AMGN
PDD
AMAT
HON
SNY
CMCSA
ADP
SBUX
APP
GILD
VRTX
PANW
LRCX
ADI
MU
KLAC
MRVL
CRWD
MELI
CEG
PYPL
EQIX
MSTR
CME
INTC
CDNS
CTAS
TEAM
ABNB
MAR
SNPS
DASH
FTNT
MDLZ
ORLY
REGN
COIN
WDAY
NTES
ADSK
CSX
ROP
TTD
JD
PCAR
CPRT
CHTR
PAYX
AEP
NXPI
AXON
LULU
DDOG
ROST
FANG
NDAQ
BKR
TCOM
MNST
HOOD
KDP
FAST
CTSH
VRSK
EXC
GEHC
ARGX
XEL
ODFL
IDXX
CCEP
ALNY
KHC
ACGL
UAL
DXCM
WTW
TTWO
EA
EBAY
CSGP
BIDU
ZS
MPWR
FER
ANSS
TW
FCNCA
FITB
TSCO
FCNCO
BNTX
MCHP
LPLA
CDW
ZM
TROW
ERIC
WBD
HBAN
NTAP
IBKR
TPG
ONC
FWONK
EXE
FOXA
FWONA
CHKP
NTRA
FOX
GFS
PTC
LI
RYAAY
WDC
VOD
EXPE
NTRS
CINF
ON
SBAC
ERIE
ILMN
VRSN
BIIB
SSNC
DKNG
MDB
ZBRA
STX
PODD
DOCU
STLD
CG
Z
COO
ULTA
AFRM
ZG
PFG
RPRX
NTNX
CYBR
GRAB
TRMB
KSPI
TER
FSLR
AZPN
SYM
FFIV
SOFI
JBHT
NWS
GEN
WMG
HOLX
ICLR
ALGN
DUOL
OKTA
SFM
NWSA
UTHR
DPZ
SMCI
CASY
ALAB
FLEX
DLTR
ARCC
LNT
NBIX
ENTG
EVRG
SMMT
AKAM
LINE
LOGI
BSY
INCY
RKLB
MRNA
MORN
PAA
INSM
EWBC
GLPI
SWKS
ESLT
ITCI
VTRS
REG
MBLY
MMYT
WIX
POOL
FUTU
LAMR
JKHY
RIVN
SAIA
MNDY
NDSN
CART
TXRH
GMAB
MANH
CRDO
COKE
BMRN
GGAL
AUR
CHRW
HST
PCTY
ROKU
GTLB
TECH
CPB
PPC
WWD
FTAI
AAL
LBRDK
SEIC
LBRDA
SRPT
LECO
MEDP
TLN
PCVX
EXAS
NICE
VNOM
HTHT
HSIC
DBX
DSGX
DOX
MTSI
GLBE
TEM
LKQ
HQY
CFLT
EXEL
ALTR
AAON
PNFP
TTAN
RGLD
PEGA
DRS
MASI
MRNO
TTEK
MIDD
WYNN
CHDN
VERX
RGEN
AGNC
FYBR
MTCH
WING
VFS
SFD
HLNE
CBSH
ENPH
BRKR
APPF
FRHC
WTFC
WBA
LCID
ZION
MKTX
EXLS
FSV
SIRI
ENSG
APA
HAS
SATS
NBIS
ROIV
RVMD
FRPT
PARAA
OTEX
QRVO
STEP
CZR
LSCC
ONB
ASND
MKSI
XP
JAZZ
LNW
BECN
CCCS
HALO
PARA
MDGL
BPMC
NXT
NVMI
CIGI
CVLT
BPOP
UFPI
HCP
CORT
BILI
WAY
BOKF
OS
CWST
LEGN
OLED
CHRD
LLYVK
SPSC
LLYVA
DJT
CGNX
WSC
OLLI
COOP
RMBS
BZ
MMSI
LNTH
ASTS
QFIN
SRAD
ETSY
VIRT
CACC
TLX
MARA
NUVL
MAT
CRVL
AMKR
REYN
SLM
GH
BBIO
LITE
UPST
LSTR
LFUS
COLB
LYFT
GNTX
CYTK
CROX
OZK
VLY
ACIW
FRSH
CELH
UMBF
LIF
TSEM
SMTC
INTA
NSIT
CHX
CSWI
CLBT
NOVT
FFIN
CRUS
GRFS
SOUN
SAIC
CALM
BCPC
OPCH
AXSM
TENB
QLYS
VRNS
ACT
RRR
LOPE
FIVE
UBSI
IONS
HWC
SIGI
KTOS
GDS
ALKS
IEP
URBN
PAGP
PECO
RDNT
COLM
FCFS
AVAV
VRNA
BWIN
ESGR
SITM
ITRI
SKYW
SNRE
NXST
RELY
RUSHA
NARI
EXPO
RUSHB
WFRD
IDCC
PONY
BGC
LANC
KRYS
FELE
TGTX
TIGO
SANM
ROAD
IPAR
FTDR
IESC
SLAB
GLNG
VRRM
AVT
BRZE
EEFT
VCTR
ALGM
STRL
AEIS
CVCO
ACHC
GBDC
BTSG
AKRO
LBTYB
LBTYK
CAMT
LBTYA
IBOC
RARE
DORM
SBRA
NFE
NWL
PYCR
MESO
RIOT
CARG
BL
FROG
GSHD
WRD
ADMA
ICUI
SHC
BANF
PTCT
PRCT
